song_name,tempo,total_beats,average_beats,chroma_stft_mean,chroma_stft_std,chroma_stft_var,chroma_cq_mean,chroma_cq_std,chroma_cq_var,chroma_cens_mean,chroma_cens_std,chroma_cens_var,melspectrogram_mean,melspectrogram_std,melspectrogram_var,mfcc_mean,mfcc_std,mfcc_var,mfcc_delta_mean,mfcc_delta_std,mfcc_delta_var,rmse_mean,rmse_std,rmse_var,cent_mean,cent_std,cent_var,spec_bw_mean,spec_bw_std,spec_bw_var,contrast_mean,contrast_std,contrast_var,rolloff_mean,rolloff_std,rolloff_var,poly_mean,poly_std,poly_var,tonnetz_mean,tonnetz_std,tonnetz_var,zcr_mean,zcr_std,zcr_var,harm_mean,harm_std,harm_var,perc_mean,perc_std,perc_var,frame_mean,frame_std,frame_var,label
Ogni Bina Bajao.mp3,117.4538352,148786,1282.637931,0.329484824,0.292604691,0.085617505,0.486099796,0.269601856,0.072685161,0.251841639,0.141099689,0.019909122,8.927829591,53.00354895,2809.376201,0.733815471,47.0925663,2217.7098,0.002433596,2.14916712,4.618919308,0.186161667,0.063922279,0.004086058,1371.129303,510.1639995,260267.3063,1749.217468,313.0224178,97983.03405,23.28020998,7.034285876,49.48117779,2881.157578,1018.453954,1037248.456,2.104486942,2.382997332,5.678676287,-0.004915892,0.065921272,0.004345614,0.057628147,0.029016502,0.000841957,0.000253913,0.161063164,0.025941342,0.000390102,0.061238591,0.003750165,2.730666667,1.097677769,1.204896484,2
Ogo Aamar Praner Thakur.mp3,143.5546875,180773,1282.078014,0.259312616,0.305237563,0.09316997,0.429659156,0.286010591,0.081802058,0.241601768,0.157993414,0.024961919,1.796886812,16.17246406,261.5485939,-7.247480755,58.0961247,3375.159706,0.001915387,2.279262722,5.195038557,0.081154019,0.040496971,0.001640005,1706.532118,648.3414148,420346.5901,1984.038087,511.0124664,261133.7408,24.26428311,6.488163284,42.0962628,3640.973817,1417.452668,2009172.065,0.815458222,0.967321563,0.935711007,-5.41E-06,0.086943919,0.007559245,0.06912222,0.03009174,0.000905513,-0.014018272,0.082553662,0.006815107,-0.000190111,0.019959291,0.000398373,4.281759637,1.628948914,2.653474565,2
Ogo Pothero Sathi.mp3,112.3471467,140275,1286.926606,0.257592472,0.302883417,0.091738364,0.406987622,0.288996981,0.083519255,0.232927238,0.170523416,0.029078235,18.79874748,114.1800243,13037.07796,1.791763284,44.37276422,1968.942204,0.012113151,3.093842344,9.571860448,0.268539995,0.091320023,0.008339346,1250.793997,485.085792,235308.2256,1744.826102,309.7017814,95915.19342,23.83098916,6.555460586,42.9740635,2352.635774,1127.384138,1270994.994,2.589258356,2.968447088,8.811678116,-0.014861914,0.088367554,0.007808825,0.04863954,0.030703936,0.000942732,4.64E-06,0.253849328,0.064439483,9.65E-05,0.073176615,0.005354817,3.568907029,1.870426081,3.498493723,2
Ohe Shundaro Mori.mp3,95.703125,118380,1272.903226,0.226577308,0.300843183,0.090506621,0.424722386,0.279320309,0.078019835,0.245644069,0.151632202,0.022992325,36.18777323,261.8716121,68576.74122,1.900891859,31.06653374,965.1295184,0.011116728,1.971251753,3.885833474,0.374095142,0.13291724,0.017666994,1772.554455,492.4983906,242554.6648,2062.196188,314.6332261,98994.06696,22.6047237,6.255708275,39.13388602,3596.803251,1192.833354,1422851.41,3.748437356,4.09001744,16.72824266,0.00820045,0.085355033,0.007285482,0.073873892,0.036344059,0.001320891,-0.000233823,0.350815803,0.123071723,-0.000923899,0.100494042,0.010099052,3.218285714,1.56006994,2.433818217,2
Oi Alo Je Jaire.mp3,161.4990234,195559,1269.863636,0.218625638,0.295316721,0.087211966,0.379294755,0.290377281,0.084318965,0.222409039,0.18403139,0.033867553,8.866472251,65.54275087,4295.852191,-1.048974744,49.41246803,2441.591996,0.010799544,2.058416109,4.237076876,0.181704208,0.072490372,0.005254854,1623.330009,590.5610805,348762.3898,1979.244138,513.7893481,263979.4942,24.6097668,7.895981781,62.34652829,3530.391152,1528.01976,2334844.385,1.69281111,1.993965097,3.975896809,-0.010372127,0.099922589,0.009984524,0.079448121,0.045185562,0.002041735,5.73E-05,0.178366005,0.031814434,0.000216433,0.046259027,0.002139898,7.574349206,4.400886525,19.36780221,2
Oi Moroner Sagar Paare.mp3,135.9991776,169323,1302.484615,0.263076255,0.307494922,0.094553127,0.438818695,0.28773187,0.082789629,0.245344267,0.152116811,0.023139524,2.590877213,18.34287652,336.461119,-7.8086585,50.7552161,2576.091961,0.009851982,2.269350454,5.149951481,0.099042863,0.042495783,0.001805892,2126.304951,595.2897941,354369.9389,2378.615576,405.5796937,164494.8879,22.62364357,6.194462189,38.37136182,4505.043592,1227.725105,1507308.934,0.9633156,1.114770242,1.242712692,0.010698063,0.077249348,0.005967462,0.078851186,0.039127642,0.001530972,-3.66E-05,0.097239025,0.009455428,-0.000182212,0.027400902,0.000750809,4.898249433,1.489347422,2.218155743,2
Oi Omolo Hate Rojoni.mp3,123.046875,146346,1434.764706,0.232454665,0.309739999,0.095938867,0.340376324,0.299400848,0.089640868,0.214737235,0.192928104,0.037221253,10.28328366,82.4985414,6806.009333,-3.233953597,52.5275563,2759.14417,0.005023508,2.502190912,6.260959362,0.193224043,0.08034505,0.006455326,1415.512026,559.8992447,313487.1642,2049.746991,528.9273027,279764.0915,24.89743894,6.795227877,46.1751219,3086.627169,1813.164142,3287564.205,1.515395743,1.831281519,3.353592002,0.025027911,0.10918804,0.011922028,0.046228556,0.02363536,0.00055863,1.21E-06,0.191666096,0.036735892,-8.59E-05,0.049228575,0.002423453,14.26982313,7.957029817,63.3143235,2
Oi Pohalo Timiroratri.mp3,184.5703125,228561,1513.649007,0.245988923,0.313527602,0.098299557,0.367016477,0.294153334,0.086526184,0.228590558,0.176294329,0.03107969,26.22730725,186.3127259,34712.43184,-2.126477552,47.5646573,2262.396624,0.008111139,2.129351087,4.534136054,0.297332853,0.151052043,0.022816721,1176.360409,332.6649486,110665.968,1560.025632,221.122128,48894.9955,23.94642158,6.778387787,45.946541,2201.799186,798.7116768,637940.3427,2.641215195,3.308371775,10.9453238,0.006856828,0.095052395,0.009034958,0.044185107,0.027442235,0.000753076,-3.16E-05,0.290601492,0.084449224,-0.000898513,0.096890807,0.009387828,9.829006803,4.744872029,22.51381058,2
Oi Re Tori Dilo Khule.mp3,112.3471467,136759,1290.179245,0.217104562,0.30237001,0.091427623,0.371625003,0.299688256,0.089813051,0.218001917,0.189231334,0.035808498,2.223534794,16.06772175,258.1716822,-8.787988354,60.36501129,3643.934589,0.005423691,2.656447736,7.056714575,0.091740638,0.040233586,0.001618741,1975.636848,649.3693558,421680.5603,2226.628008,485.0068414,235231.6362,24.99118789,6.818725457,46.49501686,4137.183316,1473.840403,2172205.533,0.757727921,0.879413263,0.773367686,0.012715148,0.093960388,0.008828555,0.073259194,0.036639815,0.001342476,-7.30E-05,0.097018912,0.00941267,-0.000171003,0.014980084,0.000224403,4.974875283,1.443972698,2.085057152,2
Oi Shuni Jeno Charanodhw.mp3,161.4990234,201518,1308.558442,0.291636286,0.314536566,0.098933251,0.410946332,0.290727713,0.084522603,0.236428013,0.165635527,0.027435128,2.454827532,19.59500358,383.9641655,-8.208224784,51.27439247,2629.063323,0.007017679,2.223107768,4.942208147,0.094652608,0.042353246,0.001793798,2096.481806,578.0316963,334120.642,2407.966457,383.0737353,146745.4867,22.79572796,6.032148431,36.3868147,4589.447248,1255.467012,1576197.419,0.903727879,1.059429499,1.122390864,0.000182128,0.084312346,0.007108572,0.069346897,0.041149522,0.001693283,-0.000104559,0.095134951,0.009050659,-0.000255548,0.022842251,0.000521768,4.1981678,1.185960178,1.406501544,2
